Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,Chance_of_fire
32.5526,-116.8644,343.0,1.1,1.0,315.6,36.4,D,0,2020-06-09 19:00:00,0.1,5.063432,87
32.7504,-115.5882,319.2,1.1,1.1,301.8,13.4,D,0,2020-10-27 21:00:00,0.1,2.531716,69
32.751,-115.5785,301.8,1.1,1.0,279.2,8.9,N,0,2020-10-27 10:00:00,0.1,10.241942,45
32.7619,-116.7775,318.1,3.3,1.7,300.3,65.1,N,0,2020-09-06 07:00:00,0.1,1.841248,95
32.7664,-116.7577,309.8,2.1,1.4,299.4,15.4,N,0,2020-09-06 09:00:00,0.1,4.142808,34
32.774,-116.7839,313.4,3.3,1.7,300.3,43.1,N,0,2020-09-06 07:00:00,0.1,1.841248,82
32.7757,-116.862,336.3,1.0,1.0,304.2,22.8,D,0,2020-08-22 21:00:00,0.1,2.30156,79
32.7759,-116.7519,383.2,3.3,1.7,310.8,912.6,N,0,2020-09-06 07:00:00,0.1,1.841248,100
32.7774,-116.7776,316.5,3.3,1.7,300.4,57.7,N,0,2020-09-06 07:00:00,0.1,1.841248,91
32.7791,-116.7568,315.9,2.1,1.4,301.0,28.0,N,0,2020-09-06 09:00:00,0.1,4.142808,52
32.7874,-115.5945,303.9,1.0,1.0,292.8,5.7,N,0,2020-10-16 06:00:00,0.1,1.841248,58
32.9953,-115.5524,403.0,1.2,1.1,317.2,326.5,D,0,2020-09-17 18:00:00,0.1,1.7261699999999998,100
33.2066,-117.3809,303.1,1.1,1.0,289.6,4.8,D,2,2020-02-04 19:00:00,0.1,4.372964,42
33.2317,-115.4502,314.4,1.1,1.0,303.5,5.2,D,0,2020-11-12 21:00:00,0.1,5.523744,59
33.2427,-115.5012,316.4,1.1,1.0,303.0,7.5,D,0,2020-11-12 21:00:00,0.1,5.523744,57
33.5516,-116.1517,302.7,2.5,1.5,290.8,12.5,D,0,2020-12-14 19:00:00,0.1,1.15078,53
33.5529,-116.1594,310.3,1.2,1.1,295.4,8.0,D,0,2020-12-14 21:00:00,0.1,2.6467939999999994,59
33.5552,-116.1653,305.5,1.2,1.1,294.7,4.3,D,2,2020-12-14 21:00:00,0.1,2.6467939999999994,42
33.5598,-116.1593,306.1,1.0,1.0,292.2,4.4,D,2,2020-12-11 19:00:00,0.1,2.416638,59
33.5609,-116.1706,300.5,1.1,1.0,288.8,3.6,D,2,2020-12-29 18:00:00,0.1,4.718197999999999,38
33.5624,-116.1824,302.7,1.1,1.0,288.6,5.2,D,0,2020-12-29 18:00:00,0.1,4.718197999999999,53
33.6085,-116.0526,324.3,1.0,1.0,307.3,10.7,D,0,2020-11-02 19:00:00,0.1,3.567418,60
33.6214,-116.192,343.5,1.5,1.2,317.6,43.4,D,0,2020-06-24 21:00:00,0.1,8.285616,87
33.622,-117.1048,339.0,1.1,1.0,315.9,25.7,D,0,2020-08-31 21:00:00,0.1,5.408666,82
33.7211,-116.1671,314.4,1.1,1.0,300.5,7.3,D,0,2020-11-11 18:00:00,0.1,2.186482,68
33.8787,-116.9084,320.3,1.9,1.3,294.4,39.4,D,0,2020-11-30 21:00:00,0.1,5.178509999999999,76
33.9069,-116.506,311.2,1.1,1.1,295.1,6.4,D,0,2020-10-26 18:00:00,0.1,3.9126519999999996,65
33.9123,-118.0489,331.2,1.1,1.0,313.9,10.8,D,2,2020-08-03 19:00:00,0.1,2.071404,71
33.9555,-117.4385,310.5,2.4,1.5,296.6,21.2,D,2,2020-02-06 22:00:00,0.1,0.920624,51
33.9568,-117.5382,346.1,2.0,1.4,305.4,131.6,D,2,2020-03-03 21:00:00,0.1,0.460312,93
33.9575,-117.4122,328.0,2.5,1.5,295.7,83.9,D,2,2020-02-06 22:00:00,0.1,0.920624,83
33.9602,-117.5163,388.0,1.3,1.1,304.4,277.6,D,2,2020-03-03 19:00:00,0.1,2.6467939999999994,100
33.9604,-117.4206,317.2,1.5,1.2,291.5,22.5,D,2,2020-02-06 18:00:00,0.1,0.8055459999999999,75
33.9612,-117.5168,350.7,2.0,1.4,305.2,157.6,D,0,2020-03-03 21:00:00,0.1,0.460312,95
33.9622,-117.4342,331.0,2.4,1.5,296.3,94.8,D,2,2020-02-06 22:00:00,0.1,0.920624,85
33.9623,-117.4136,320.0,1.5,1.2,291.6,28.9,D,2,2020-02-06 18:00:00,0.1,0.8055459999999999,78
33.9628,-117.5303,348.3,1.3,1.1,299.9,78.8,D,2,2020-03-03 19:00:00,0.1,2.6467939999999994,94
33.9643,-117.4079,343.3,2.5,1.5,294.7,167.3,D,0,2020-02-06 22:00:00,0.1,0.920624,92
33.969,-117.4398,315.3,2.4,1.5,295.5,35.7,D,2,2020-02-06 22:00:00,0.1,0.920624,69
33.969,-117.4211,350.8,1.9,1.4,303.6,146.2,D,2,2020-10-28 21:00:00,0.1,0.460312,95
33.9703,-117.5136,324.0,1.3,1.1,302.3,23.6,D,2,2020-03-03 19:00:00,0.1,2.6467939999999994,78
33.971,-117.4135,336.7,2.5,1.5,293.3,128.9,D,2,2020-02-06 22:00:00,0.1,0.920624,89
34.0099,-117.3832,352.7,1.0,1.0,297.2,64.5,D,2,2020-12-03 21:00:00,0.1,4.833276,97
34.0105,-117.5431,328.9,1.1,1.1,312.0,7.8,D,2,2020-05-11 21:00:00,0.1,3.682496,41
34.0113,-117.5417,332.0,1.0,1.0,318.7,8.3,D,2,2020-06-09 19:00:00,0.1,4.02773,70
34.0113,-117.3724,387.3,1.0,1.0,299.9,183.1,D,2,2020-12-03 21:00:00,0.1,4.833276,100
34.0117,-117.5385,329.6,1.0,1.0,316.3,6.2,D,2,2020-05-08 19:00:00,0.1,4.257886,62
34.0124,-117.5372,323.2,1.0,1.0,308.4,5.4,D,2,2020-04-22 19:00:00,0.1,0.460312,31
34.0125,-117.535,334.4,1.1,1.0,317.9,11.0,D,2,2020-08-03 19:00:00,0.1,4.948353999999999,65
34.0163,-117.3716,305.9,1.1,1.0,294.5,3.5,D,2,2020-12-04 19:00:00,0.1,1.265858,40
34.0188,-117.385,321.5,1.0,1.0,296.7,15.4,D,2,2020-12-03 21:00:00,0.1,4.833276,79
34.0203,-117.3742,341.6,1.0,1.0,298.0,42.5,D,2,2020-12-03 21:00:00,0.1,4.833276,92
34.038,-117.3762,333.7,1.1,1.1,313.5,16.8,D,2,2020-05-11 21:00:00,0.1,1.841248,77
34.0387,-117.374,330.3,1.0,1.0,315.3,7.8,D,2,2020-07-27 19:00:00,0.1,7.0197579999999995,67
34.0401,-117.3685,329.5,1.0,1.0,313.7,9.1,D,2,2020-05-24 19:00:00,0.1,3.7975739999999996,73
34.0403,-117.375,340.6,1.1,1.1,322.9,18.2,D,2,2020-07-30 21:00:00,0.1,0.690468,75
34.0409,-117.369,331.6,1.0,1.0,318.4,8.6,D,2,2020-05-08 19:00:00,0.1,3.107106,63
34.0425,-117.3737,322.9,1.0,1.0,308.1,7.1,D,2,2020-04-22 19:00:00,0.1,0.8055459999999999,51
34.0426,-117.3798,330.1,1.0,1.0,316.6,6.3,D,2,2020-05-08 19:00:00,0.1,3.107106,53
34.0455,-117.5512,315.9,1.1,1.1,300.5,5.0,D,2,2020-03-28 19:00:00,0.1,5.293587999999999,60
34.0804,-117.2732,305.8,1.0,1.0,289.1,7.3,N,2,2020-09-12 06:00:00,0.1,1.035702,66
34.0819,-117.2624,313.2,1.0,1.0,289.6,12.6,N,2,2020-09-12 06:00:00,0.1,1.035702,87
34.0961,-117.5279,301.4,1.0,1.0,289.6,3.3,D,2,2020-01-10 19:00:00,0.1,1.841248,47
34.1237,-117.9331,308.1,1.1,1.0,295.8,4.7,D,2,2020-01-24 19:00:00,0.1,3.7975739999999996,61
34.1307,-116.3571,329.6,2.9,1.6,312.1,71.6,D,0,2020-05-11 19:00:00,0.1,12.773658,79
34.1417,-118.5169,326.0,1.3,1.1,309.3,14.2,D,2,2020-09-03 21:00:00,0.1,0.345234,38
34.1647,-118.4888,331.1,4.6,2.0,312.8,94.1,D,2,2020-09-06 20:00:00,0.1,0.230156,34
34.1706,-118.3716,334.9,1.1,1.0,317.5,13.1,D,2,2020-07-21 21:00:00,0.1,2.30156,79
34.3428,-118.7387,333.1,1.0,1.0,315.3,11.6,D,0,2020-07-11 19:00:00,0.1,3.3372619999999995,75
34.3443,-118.7494,331.5,1.0,1.0,314.5,9.7,D,0,2020-07-11 19:00:00,0.1,3.3372619999999995,72
34.3829,-118.8474,300.9,1.1,1.0,289.8,3.2,D,0,2020-11-09 19:00:00,0.1,3.107106,27
34.3848,-118.8278,328.4,1.0,1.0,309.4,14.6,D,0,2020-05-15 19:00:00,0.1,2.6467939999999994,57
34.3864,-118.8386,327.5,1.0,1.0,310.2,13.2,D,0,2020-05-15 19:00:00,0.1,2.6467939999999994,67
34.4156,-118.7857,300.7,1.5,1.2,289.8,6.2,D,0,2020-01-13 21:00:00,0.1,4.488041999999999,39
34.4199,-118.7747,303.4,1.5,1.2,289.2,9.3,D,0,2020-01-13 21:00:00,0.1,4.488041999999999,49
34.4494,-118.795,316.9,2.0,1.4,293.2,41.2,N,0,2020-06-11 06:00:00,0.1,4.257886,94
34.5894,-120.4747,363.9,1.3,1.1,315.9,117.7,D,0,2020-09-07 21:00:00,0.1,0.920624,100
34.5918,-120.4613,325.0,1.3,1.1,311.5,11.4,D,0,2020-09-07 21:00:00,0.1,0.920624,59
34.6561,-120.3618,300.3,1.3,1.1,287.0,6.7,D,0,2020-01-13 19:00:00,0.1,9.78163,34
34.7239,-120.3833,317.3,1.5,1.2,295.1,24.6,D,0,2020-11-03 21:00:00,0.1,1.841248,72
34.9042,-120.3507,305.4,1.9,1.3,292.0,9.4,D,0,2020-02-13 18:00:00,0.1,3.2221839999999995,50
34.9916,-120.4555,304.4,1.1,1.0,293.8,4.3,D,0,2020-12-07 19:00:00,0.1,4.488041999999999,59
35.26,-118.874,324.9,1.9,1.3,305.3,27.9,D,0,2020-04-25 19:00:00,0.1,4.718197999999999,65
35.2603,-118.9412,308.3,1.0,1.0,289.5,7.4,D,0,2020-02-09 19:00:00,0.1,5.178509999999999,58
35.261,-118.8883,327.8,1.0,1.0,308.7,13.7,D,0,2020-04-23 21:00:00,0.1,2.992028,66
35.2613,-118.892,331.1,1.2,1.1,313.5,21.1,D,0,2020-04-25 21:00:00,0.1,7.0197579999999995,73
35.2642,-118.8941,320.9,1.9,1.3,306.7,17.3,D,0,2020-04-25 19:00:00,0.1,4.718197999999999,43
