Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,date_Time_fireFile,MDL,wind_measurements,fire_occurred
32.6609,-115.5293,338.0,4.7,2.0,309.3,242.1,D,0,2018-05-13 19:00:00,0.1,1.15078,1
32.6615,-115.536,365.4,4.7,2.0,310.3,804.2,D,0,2018-05-13 19:00:00,0.1,1.15078,1
32.6786,-115.5298,327.2,4.7,2.0,308.5,119.5,D,0,2018-05-13 19:00:00,0.1,1.15078,0
32.6791,-115.5088,303.0,1.6,1.3,283.6,17.2,N,2,2018-12-09 05:00:00,0.1,2.186482,0
32.7422,-115.4779,310.6,1.1,1.1,300.3,7.4,D,0,2018-01-23 21:00:00,0.1,1.7261699999999998,0
32.7494,-115.4821,332.3,1.0,1.0,312.1,11.9,D,0,2018-08-25 19:00:00,0.1,7.710226,1
33.0396,-115.6348,323.1,1.1,1.1,309.2,11.8,D,0,2018-10-22 21:00:00,0.1,2.186482,1
33.0443,-115.6277,319.4,1.1,1.0,305.3,8.7,D,0,2018-10-19 19:00:00,0.1,2.992028,1
33.2452,-115.4846,352.3,1.2,1.1,319.4,56.5,D,0,2018-09-12 18:00:00,0.1,17.722012,1
33.2496,-115.5093,323.7,1.1,1.0,300.5,17.0,D,0,2018-11-23 21:00:00,0.1,0.57539,1
33.5516,-116.1544,338.6,2.3,1.5,292.2,142.7,N,0,2018-04-28 06:00:00,0.1,2.186482,1
33.5538,-116.1288,357.0,2.3,1.5,293.5,273.9,N,0,2018-04-28 06:00:00,0.1,6.444367999999999,1
33.5604,-116.1122,306.7,3.1,1.7,288.5,47.8,N,0,2018-04-28 09:00:00,0.1,4.718197999999999,1
33.561,-116.1169,308.9,3.1,1.7,288.5,55.9,N,0,2018-04-28 09:00:00,0.1,4.718197999999999,1
33.5625,-116.1457,309.7,3.1,1.7,288.7,58.5,N,0,2018-04-28 09:00:00,0.1,4.718197999999999,1
33.5628,-116.1365,309.9,2.3,1.5,291.2,35.6,N,0,2018-04-28 06:00:00,0.1,6.444367999999999,1
33.5633,-116.1504,303.6,3.1,1.7,288.2,38.2,N,0,2018-04-28 09:00:00,0.1,1.6110919999999997,0
33.581,-116.2097,309.9,2.1,1.4,297.1,20.7,N,0,2018-06-09 05:00:00,0.1,1.380936,1
33.584,-116.2412,337.7,1.3,1.1,324.0,17.8,D,0,2018-06-08 18:00:00,0.1,2.87695,0
33.5854,-116.188,307.5,2.1,1.4,297.1,17.4,N,0,2018-06-09 05:00:00,0.1,1.380936,1
33.5855,-116.2325,302.5,1.1,1.0,291.6,3.8,D,0,2018-01-11 19:00:00,0.1,1.841248,0
33.5868,-116.2339,339.4,1.0,1.0,322.0,16.9,D,0,2018-06-06 19:00:00,0.1,6.214212,1
33.5883,-116.2446,340.3,1.0,1.0,323.2,18.7,D,0,2018-06-06 19:00:00,0.1,6.214212,1
33.5923,-116.2364,305.5,1.1,1.0,292.0,5.3,D,0,2018-01-11 19:00:00,0.1,1.841248,0
33.594,-116.2397,340.8,1.3,1.1,323.9,25.4,D,0,2018-06-08 18:00:00,0.1,2.87695,1
33.5942,-116.2446,346.5,1.3,1.1,323.9,42.5,D,0,2018-06-11 19:00:00,0.1,3.3372619999999995,1
33.5966,-116.25,338.4,1.3,1.1,323.9,22.6,D,0,2018-06-11 19:00:00,0.1,3.3372619999999995,1
33.6934,-116.1707,305.5,1.1,1.0,292.5,4.5,D,0,2018-01-11 19:00:00,0.1,0.8055459999999999,1
33.7066,-116.1642,336.5,1.0,1.0,313.5,24.3,D,2,2018-03-19 21:00:00,0.1,1.380936,1
33.7156,-116.1662,339.0,1.0,1.0,310.6,28.1,D,0,2018-03-19 21:00:00,0.1,1.380936,1
34.0032,-117.4816,319.4,1.0,1.0,306.6,6.0,D,2,2018-04-17 19:00:00,0.1,4.372964,1
34.0116,-117.5358,316.7,1.0,1.0,303.3,3.5,D,2,2018-04-17 19:00:00,0.1,4.372964,0
34.0156,-117.5366,331.1,1.0,1.0,313.7,6.3,D,2,2018-06-20 19:00:00,0.1,6.444367999999999,0
34.0453,-117.3774,336.2,1.0,1.0,316.5,11.1,D,2,2018-07-22 19:00:00,0.1,2.531716,1
34.0897,-117.5397,306.2,1.3,1.1,295.0,5.2,D,2,2018-12-12 21:00:00,0.1,2.531716,1
34.0905,-117.5373,313.1,1.1,1.1,300.9,5.5,D,2,2018-02-15 21:00:00,0.1,14.499827999999999,0
34.0905,-117.5356,306.4,1.0,1.0,293.9,5.2,N,2,2018-07-21 06:00:00,0.1,2.531716,1
34.0909,-117.5341,304.8,1.0,1.0,293.0,5.6,N,2,2018-09-07 06:00:00,0.1,1.496014,1
34.0915,-117.5269,308.7,1.0,1.0,295.1,4.4,D,2,2018-02-21 19:00:00,0.1,4.142808,1
34.0922,-117.5349,306.4,1.0,1.0,293.5,4.4,D,2,2018-12-13 19:00:00,0.1,2.30156,1
34.0923,-117.5367,303.9,1.1,1.0,292.6,6.1,N,2,2018-06-21 06:00:00,0.1,1.380936,0
34.0925,-117.5365,304.5,1.0,1.0,292.6,5.5,N,2,2018-08-31 06:00:00,0.1,1.15078,1
34.0925,-117.5337,312.5,1.0,1.0,299.6,5.2,D,2,2018-01-12 21:00:00,0.1,14.154594,1
34.0926,-117.535,307.5,1.0,1.0,294.1,6.5,N,2,2018-08-22 06:00:00,0.1,1.9563259999999998,1
34.0927,-117.5335,306.6,1.3,1.1,291.1,6.6,D,2,2018-02-23 18:00:00,0.1,6.329289999999999,0
34.0943,-117.5333,308.0,1.0,1.0,293.4,5.3,D,2,2018-12-07 21:00:00,0.1,1.15078,1
34.0945,-117.529,310.1,1.3,1.1,297.7,6.2,D,2,2018-02-26 19:00:00,0.1,6.7896019999999995,0
34.0948,-117.5328,311.7,1.0,1.0,293.6,6.9,D,2,2018-02-28 19:00:00,0.1,6.329289999999999,1
34.095,-117.5368,304.5,1.0,1.0,293.4,5.2,N,2,2018-06-28 06:00:00,0.1,2.416638,1
34.095,-117.5317,306.7,1.0,1.0,294.4,6.2,N,2,2018-06-12 06:00:00,0.1,1.6110919999999997,1
34.095,-117.5282,326.4,1.1,1.0,310.6,7.2,D,2,2018-06-06 19:00:00,0.1,9.551474,1
34.0954,-117.5349,304.0,1.1,1.0,291.9,6.5,N,2,2018-09-14 06:00:00,0.1,1.9563259999999998,0
34.0954,-117.5322,320.5,1.0,1.0,308.4,6.2,D,2,2018-10-26 19:00:00,0.1,2.30156,1
34.0963,-117.5323,305.7,1.1,1.0,293.9,4.8,D,2,2018-12-15 19:00:00,0.1,2.992028,0
34.1781,-117.3012,323.0,4.1,1.9,301.4,90.8,D,2,2018-10-12 22:00:00,0.1,1.380936,0
34.1866,-117.338,334.8,4.0,1.9,300.9,199.2,D,2,2018-10-12 22:00:00,0.1,1.380936,1
34.1889,-117.296,331.9,4.1,1.9,299.4,173.4,D,0,2018-10-12 22:00:00,0.1,1.380936,1
