Latitude_fireFile,Longitude_fireFile,brightness,scan,track,bright_t31,frp,daynight,type,Sample Measurement,Units of Measure,MDL,fire_occurred
33.8011,-117.9274,300.2,1.0,1.0,286.2,5.5,N,2,185.0,Degrees Compass,1.0,0
33.8011,-117.9274,300.2,1.0,1.0,286.2,5.5,N,2,0.7,Knots,0.1,0
33.8011,-117.9274,300.2,1.0,1.0,286.2,5.5,N,2,82.0,Degrees Compass,1.0,0
34.0708,-117.4972,320.9,1.1,1.1,302.5,4.8,D,2,7.1,Knots,0.1,0
34.0708,-117.4972,320.9,1.1,1.1,302.5,4.8,D,2,237.0,Degrees Compass,1.0,0
34.0708,-117.4972,320.9,1.1,1.1,302.5,4.8,D,2,6.5,Knots,0.1,0
34.0708,-117.4972,320.9,1.1,1.1,302.5,4.8,D,2,227.0,Degrees Compass,1.0,0
34.0648,-117.4616,321.6,1.1,1.1,303.4,6.8,D,2,7.1,Knots,0.1,0
34.0648,-117.4616,321.6,1.1,1.1,303.4,6.8,D,2,237.0,Degrees Compass,1.0,0
34.0648,-117.4616,321.6,1.1,1.1,303.4,6.8,D,2,6.5,Knots,0.1,0
34.0648,-117.4616,321.6,1.1,1.1,303.4,6.8,D,2,227.0,Degrees Compass,1.0,0
34.0123,-117.5296,321.2,1.1,1.1,302.7,7.3,D,2,5.3,Knots,0.1,0
39.3312,-121.6599,308.2,1.0,1.0,291.5,3.1,D,0,3.5,Knots,0.1,0
39.3312,-121.6599,308.2,1.0,1.0,291.5,3.1,D,0,281.0,Degrees Compass,0.1,0
32.7145,-115.4744,300.8,1.0,1.0,287.3,6.5,N,0,5.1,Knots,0.1,0
32.7145,-115.4744,300.8,1.0,1.0,287.3,6.5,N,0,348.0,Degrees Compass,0.1,0
39.3361,-121.6837,317.6,1.2,1.1,305.6,6.7,D,0,3.2,Knots,0.1,0
39.3361,-121.6837,317.6,1.2,1.1,305.6,6.7,D,0,152.0,Degrees Compass,0.1,0
33.5616,-116.0957,339.7,1.0,1.0,322.5,19.4,D,0,2.6,Knots,0.1,1
33.5616,-116.0957,339.7,1.0,1.0,322.5,19.4,D,0,342.2,Degrees Compass,0.1,1
33.5616,-116.0957,339.7,1.0,1.0,322.5,19.4,D,0,2.9,Knots,0.1,1
33.5616,-116.0957,339.7,1.0,1.0,322.5,19.4,D,0,324.0,Degrees Compass,1.0,1
33.5704,-116.0976,380.3,1.0,1.0,324.7,129.9,D,0,2.6,Knots,0.1,1
33.5704,-116.0976,380.3,1.0,1.0,324.7,129.9,D,0,342.2,Degrees Compass,0.1,1
33.5704,-116.0976,380.3,1.0,1.0,324.7,129.9,D,0,2.9,Knots,0.1,1
33.5704,-116.0976,380.3,1.0,1.0,324.7,129.9,D,0,324.0,Degrees Compass,1.0,1
33.5689,-116.1082,350.1,1.0,1.0,320.8,37.5,D,0,2.6,Knots,0.1,1
33.5689,-116.1082,350.1,1.0,1.0,320.8,37.5,D,0,342.2,Degrees Compass,0.1,1
33.5689,-116.1082,350.1,1.0,1.0,320.8,37.5,D,0,2.9,Knots,0.1,1
33.5689,-116.1082,350.1,1.0,1.0,320.8,37.5,D,0,324.0,Degrees Compass,1.0,1
34.0102,-117.5362,325.7,1.0,1.0,306.4,4.9,D,2,2.4,Knots,0.1,0
39.3186,-121.6814,320.2,1.3,1.1,305.4,8.7,D,0,3.2,Knots,0.1,0
39.3186,-121.6814,320.2,1.3,1.1,305.4,8.7,D,0,131.0,Degrees Compass,0.1,0
39.1542,-121.7618,327.0,1.0,1.0,302.7,15.1,D,0,14.3,Knots,0.1,1
39.1542,-121.7618,327.0,1.0,1.0,302.7,15.1,D,0,131.0,Degrees Compass,0.1,1
39.1558,-121.7732,330.2,1.0,1.0,301.3,17.9,D,0,14.3,Knots,0.1,1
39.1558,-121.7732,330.2,1.0,1.0,301.3,17.9,D,0,131.0,Degrees Compass,0.1,1
34.6059,-120.5079,325.8,1.4,1.2,281.5,46.2,N,0,2.9,Knots,0.1,1
34.6059,-120.5079,325.8,1.4,1.2,281.5,46.2,N,0,301.0,Degrees Compass,0.1,1
34.5954,-120.507,327.2,1.4,1.2,282.3,49.0,N,0,2.9,Knots,0.1,1
34.5954,-120.507,327.2,1.4,1.2,282.3,49.0,N,0,301.0,Degrees Compass,0.1,1
39.3328,-121.6745,317.3,1.0,1.0,302.0,6.8,D,0,2.6,Knots,0.1,1
39.3328,-121.6745,317.3,1.0,1.0,302.0,6.8,D,0,165.0,Degrees Compass,0.1,1
36.7218,-119.7321,301.5,1.1,1.0,291.3,5.0,N,2,2.4,Knots,0.1,0
36.7218,-119.7321,301.5,1.1,1.0,291.3,5.0,N,2,332.6,Degrees Compass,0.1,0
36.7218,-119.7321,301.5,1.1,1.0,291.3,5.0,N,2,1.6,Knots,0.1,0
36.7218,-119.7321,301.5,1.1,1.0,291.3,5.0,N,2,293.0,Degrees Compass,1.0,0
39.1778,-121.9647,314.5,2.2,1.4,297.6,20.0,D,0,2.2,Knots,0.1,0
39.1778,-121.9647,314.5,2.2,1.4,297.6,20.0,D,0,156.0,Degrees Compass,0.1,0
39.1769,-121.9714,313.6,2.2,1.4,298.2,19.4,D,0,2.2,Knots,0.1,0
39.1769,-121.9714,313.6,2.2,1.4,298.2,19.4,D,0,156.0,Degrees Compass,0.1,0
